Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO Disease Outbreak News 2005 Senegal,https://www.who.int/emergencies/disease-outbreak-news/item/2005_03_29-en,WHO official report on cholera outbreak in Senegal 2005,2005-01-01 to 2005-12-31,Outbreak surveillance,Active,Level_1,Validated,WebSearch priority sources,English,0,WHO updates 6-7,Gap-targeted search
2,PubMed Cholera Senegal 2004-2006,https://pubmed.ncbi.nlm.nih.gov/19639824/,Scientific study of cholera outbreaks 2004-2006 lessons learned,2004-10-01 to 2006-03-31,Epidemiological analysis,Active,Level_1,Validated,WebSearch academic,French,1,Multiple academic refs,Historical gap search
3,PLOS ONE Senegal Climate Cholera 2005,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3432123/,Climate factors in 2005 Senegal cholera outbreak analysis,2005-01-01 to 2005-12-31,Research study,Active,Level_1,Validated,WebSearch PubMed,English,2,Climate-disease analysis,Gap-targeted search
4,WHO Disease Outbreak News Update 7,https://www.who.int/emergencies/disease-outbreak-news/item/2005_07_15-en,WHO update 7 on Senegal cholera outbreak 2005,2005-07-04 to 2005-07-10,Surveillance update,Active,Level_1,Validated,WebSearch WHO,English,0,WHO update series,Priority source mining
5,ReliefWeb Senegal Cholera 2007,https://reliefweb.int/report/senegal/senegal-cholera-minor-emergency-no-05me020,Red Cross emergency response to 2007 cholera outbreak,2007-08-03 to 2007-10-14,Humanitarian response,Active,Level_2,Validated,WebSearch ReliefWeb,English,1,IFRC emergency records,Historical search
6,ScienceDirect Dakar Cholera 1995-1996,https://www.sciencedirect.com/science/article/pii/S0399077X99800183,Geographic analysis of 1995-1996 cholera epidemic in Dakar,1995-08-01 to 1996-12-31,Epidemiological study,Active,Level_1,Validated,WebSearch French language,French,2,IRD geographic analysis,Gap-targeted historical
7,PLOS NTD Cholera Dynamics Benin-Mauritania,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006379,Regional cholera dynamics study including Senegal 2009-2015,2009-01-01 to 2015-12-31,Multi-country analysis,Active,Level_1,Validated,WebSearch academic cross-border,English,2,Regional WHO surveillance,Zero-transmission validation
8,MSF Regional Cholera Surveillance,https://www.msf.ch/nos-actualites/articles/afrique-louest-mobiliser-lepidemiologie-regionale-repondre-au-cholera,MSF Dakar regional cholera surveillance team activities,2024-01-01 to 2024-12-31,Surveillance report,Active,Level_2,Validated,WebSearch French MSF,French,1,Regional epidemic intelligence,Current surveillance
9,Institut Pasteur Dakar Historical,https://institutpasteurdakar.sn/,Institut Pasteur Dakar cholera surveillance capabilities,1980-01-01 to 2024-12-31,Laboratory surveillance,Active,Level_1,Validated,WebSearch institutional,English,1,WHO collaborating center,Historical laboratory data
10,WHO WER Senegal 1995,https://iris.who.int/handle/10665/229602,Weekly Epidemiological Record cholera outbreak Senegal 1995,1995-01-01 to 1995-12-31,WHO surveillance report,Active,Level_1,Validated,WebSearch WHO archives,French,0,WER volume 70 issue 47,Historical WHO documentation
