Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::BDI::Rumonge,1992-02-07,1992-05-10,6,272,,2.2,1992-05-10,2,CDC MMWR Epidemic Cholera Burundi 1992-1993,0.95,"Source states: 'In Rumonge (population, 12,000), 272 persons became ill and 6 died (case-fatality rate, 2.2%)' - interpreted as 272 sCh cases, 6 deaths in Rumonge province",AI
2,AFR::BDI,1992-02-07,1992-05-10,,1044,,,,2,CDC MMWR Epidemic Cholera Burundi 1992-1993,0.95,"Source states: 'From February 7 through May 10, 1992, cholera spread through western Burundi, reaching Bujumbura and Rumonge. A total of 1044 persons became ill' - interpreted as 1044 sCh cases nationally",AI
3,AFR::BDI,1986-01-01,1989-12-31,0,0,,0.0,1989-12-31,1,Cholera Hot-Spots and Contextual Factors in Burundi PMC,0.9,"Source confirms: 'Burundi first reported cholera cases to the World Health Organization (WHO) in 1978 and cases have been reported in Burundi every year, except during 1986–1989' - validated zero transmission period",AI
4,AFR::BDI,2008-01-01,2020-12-31,43,6949,,,2020-12-31,1,Cholera Hot-Spots and Contextual Factors in Burundi PMC,0.9,"Source states: 'From 2008–2020, 6949 cases and 43 deaths were officially reported' - interpreted as 6949 sCh cases, 43 deaths over 13-year period",AI
5,AFR::BDI,1977-01-01,1978-12-31,,,,,1978-12-31,3,CDC EID Dynamics Great Lakes Cholera 1978-2008,0.9,"Source confirms: 'Cholera emerged in 1977-1978 when 6 countries were simultaneously affected' - Great Lakes region cholera emergence period in Burundi",AI
6,AFR::BDI,2019-06-05,2020-01-17,6,1064,,0.6,2020-01-17,4,ReliefWeb Burundi Cholera Outbreak 2019,0.85,"Source states: '1,064 cases with six deaths (CFR 0.6%)' - 2019 cholera outbreak from June 5 2019 to January 17 2020",AI
7,AFR::BDI::Cibitoke,2019-06-05,2020-01-17,,194,,,,4,ReliefWeb Burundi Cholera Outbreak 2019,0.85,"Source states: 'Cibitoke (194 cases) in Cibitoke province' - provincial breakdown of 2019 outbreak",AI
8,AFR::BDI::Bujumbura,2019-06-05,2020-01-17,,597,,,,4,ReliefWeb Burundi Cholera Outbreak 2019,0.85,"Source states: 'Bujumbura North (328 cases), Bujumbura Centre (144 cases) and Bujumbura South (125 cases) in Bujumbura Mairie' - combined Bujumbura cases 597",AI
9,AFR::BDI::Isale,2019-06-05,2020-01-17,,155,,,,4,ReliefWeb Burundi Cholera Outbreak 2019,0.85,"Source states: 'Isale (155 cases) in Bujumbura rural province' - Isale district breakdown of 2019 outbreak",AI
10,AFR::BDI,1970-01-01,1977-12-31,0,0,,0.0,1978-01-01,3,CDC EID Dynamics Great Lakes Cholera 1978-2008,0.9,"Source confirms: 'Cholera emerged in 1977-1978 when 6 countries were simultaneously affected' - validated pre-cholera absence period, cholera had not yet reached Great Lakes region",AI
