Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,Ethiopia National Cholera Elimination Plan 2022-2028 (PMC11244260),https://pmc.ncbi.nlm.nih.gov/articles/PMC11244260/,National cholera elimination plan with historical surveillance data,2015-2023,Surveillance,Active,Level 1,Validated,WebFetch,English,Primary,WHO surveillance data,Direct search,AI
2,Spatiotemporal dynamics of cholera epidemics in Ethiopia 2015-2021 (PMC10991303),https://pmc.ncbi.nlm.nih.gov/articles/PMC10991303/,Regional cholera surveillance data from WHO bulletins and academic studies,2015-2022,Surveillance,Active,Level 2,Validated,WebSearch,English,Secondary,Scientific Reports and Oxford Academic,Geographic expansion search,AI
3,Frontiers epidemiology article on Dollo Ado cholera outbreak 2023,https://www.frontiersin.org/journals/epidemiology/articles/10.3389/fepid.2025.1480230/full,Case-control study of 2023 cholera outbreak in Dollo Ado district,2023,Outbreak investigation,Active,Level 1,Validated,WebSearch,English,Primary,Field epidemiology study,District-level search,AI
4,ReliefWeb OCHA humanitarian reports 2019,https://reliefweb.int/disaster/ep-2019-000080-eth,OCHA humanitarian situation reports on 2019 cholera outbreak,2019,Humanitarian monitoring,Active,Level 2,Validated,WebSearch,English,Primary,UN OCHA reports,Regional breakdown search,AI
5,UNICEF Ethiopia cholera response reports 2020,https://reliefweb.int/report/ethiopia/ethiopia-cholera-outbreak-ethiopian-authorities-unicef-dg-echo-partners-echo-daily,"ECHO Daily Flash of 21 January 2020, 'Ethiopia - Cholera outbreak (Ethiopian authorities, UNICEF, DG ECHO Partners)'. IDENTIFIED AND READ IN FULL BY AGENT 5 on 2026-09-20; the entry's Source name ('UNICEF Ethiopia cholera response reports 2020') is vaguer than the document it points to. Full text: 'Since mid-December 2019, over 1045 cholera cases and at least 24 related deaths have been reported in SNNPR (Southern Nations, Nationalities and Peoples Region), Oromiya (Guji zone) and Somali (Shabelle zone) regions in Ethiopia. The most affected zones are South Omo and Gofa in SNNPR with 970 cases and 18 deaths. ... In 2019 and before these latest episodes, a total of 2074 cholera cases had been reported, with all regions and administrative cities affected, except Gambella and Benishangul-Gumuz regions.' The reporting window is MID-DECEMBER 2019 TO 21 JANUARY 2020, not January 2020 alone. NOTE FOR AUDITORS: this document does NOT contain the four South Omo woreda counts carried by data rows citing it (Malle 364, Selamago 228, Benatsemay 188, Hamer 74); see the notes on those rows.",2020,Emergency response,Active,Level 2,Validated,WebSearch,English,Primary,UNICEF field reports,Woreda-level search,AI
6,Infectious Disease Control and Management in Ethiopia A Case Study of Cholera (PMC9197421),https://pmc.ncbi.nlm.nih.gov/articles/PMC9197421/,WHO and academic analysis of WASH interventions during cholera outbreaks,2016-2021,Intervention analysis,Active,Level 2,Validated,WebSearch,English,Secondary,WHO WASH reports,Regional intervention search,AI
7,Inferred from baseline surveillance gap analysis,https://academic.oup.com/cid/article/79/Supplement_1/S8/7712959,"RETIRED BY AGENT 3 (2026-09-19). This was never a source: the name 'Inferred from baseline surveillance gap analysis' describes the absence of evidence, and the URL points at a paper (the EPHI/IVI retrospective, Clin Infect Dis 2024) that does not support the 1972-1981, 1983-1992 or 1999-2003 zero claims made against it. All three rows that cited this entry (former Index 21, 22, 23) have been retracted to data/ETH/retracted_rows_ai.csv. No data row cites this entry any longer. Do not attach new observations to it.",1972-2003,Zero-transmission validation,Retired,Level 3,Validated,Gap analysis,English,Primary,JHU and WHO baseline data,Zero-transmission inference,AI
8,Retrospective Analysis of Cholera in Ethiopia (Oxford Academic),https://academic.oup.com/cid/article/79/Supplement_1/S8/7712959,Comprehensive retrospective analysis of cholera/AWD outbreaks 2001-2023,2015-2023,Surveillance analysis,Active,Level 1,Cross-validated,WebSearch,English,Primary,Ethiopian Public Health Institute data,Cross-reference validation,AI
9,WHO Multi-Country Cholera Situation Report July 2024,https://reliefweb.int/report/ethiopia/multi-country-outbreak-cholera-external-situation-report-16-published-18-july-2024,WHO situation report on ongoing multi-country cholera outbreak,2024,Emergency monitoring,Active,Level 1,Validated,WebSearch,English,Primary,WHO emergency reports,Adjacent period search,AI
10,Retrospective Analysis Ethiopia Cholera 2001-2023,https://academic.oup.com/cid/article/79/Supplement_1/S8/7712959,Comprehensive analysis of cholera incidence and CFR patterns,2001-2023,Historical analysis,Active,Level 1,Cross-validated,WebSearch,English,Primary,EPHI surveillance data,Multi-source validation,AI
