Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 5070),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection5070.csv,JHU cholera database entry with 104 observations. Frequency: Weekly. Updated: 2024-02-09,2006-01-02 to 2007-12-30,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,WHO AFRO Surveillance Report (UID: 20624),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection20624.csv,JHU cholera database entry with 4 observations. Frequency: Weekly. Updated: 2024-02-09 Source tags: WHOafro,2017-07-10 to 2017-07-23,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,WHO AFRO Surveillance Report (UID: 20621),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection20621.csv,JHU cholera database entry with 17 observations. Frequency: Other (99). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01 to 2017-07-02,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,WHO AFRO Surveillance Report (UID: 20896),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection20896.csv,JHU cholera database entry with 8 observations. Frequency: Other (93). Updated: 2024-02-09 Source tags: WHOafro,2018-01-01 to 2018-05-27,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,WHO AFRO Surveillance Report (UID: 20504),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection20504.csv,JHU cholera database entry with 4 observations. Frequency: Other (79). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01 to 2017-06-02,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,WHO AFRO Surveillance Report (UID: 20679),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection20679.csv,JHU cholera database entry with 10 observations. Frequency: Other (78). Updated: 2024-02-09 Source tags: WHOafro,2015-10-01 to 2017-09-29,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,WHO AFRO Surveillance Report (UID: 20456),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection20456.csv,JHU cholera database entry with 2 observations. Frequency: Other (77). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01 to 2017-03-19,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,WHO AFRO Surveillance Report (UID: 21009),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection21009.csv,JHU cholera database entry with 4 observations. Frequency: Other (76). Updated: 2024-02-09 Source tags: WHOafro,2018-01-01 to 2018-10-14,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,WHO AFRO Surveillance Report (UID: 20468),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection20468.csv,JHU cholera database entry with 12 observations. Frequency: Other (69). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01 to 2017-04-02,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,WHO AFRO Surveillance Report (UID: 20653),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ethiopia/ObservationCollection20653.csv,JHU cholera database entry with 9 observations. Frequency: Other (67). Updated: 2024-02-09 Source tags: WHOafro,2017-01-01 to 2017-09-12,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
