Location,TL,TR,evidence,source_index,source,confidence_weight,processing_notes,source_database,moved_from_row
AFR::ETH,1998-01-01,1998-12-31,presence_confirmed_count_unknown,29,"Scrascia et al., Cholera in Ethiopia in the 1990s: epidemiologic patterns, clonal analysis and antimicrobial resistance, Int J Med Microbiol 2009;299:367-372 (PMID 19121605)",0.9,"Source states: 'Cholera outbreaks persisted in Ethiopia with a recrudescence of cases in 1998. Twenty-two Vibrio cholerae O1 strains, selected to represent the 1998 history of cholera in Ethiopia, were characterized ... These findings indicate that a group of closely related V. cholerae O1 strains was responsible for the cholera epidemic in Ethiopia in 1998. [Outbreaks sampled in the regional states of Oromiya, Somali and Harari People and in Addis Ababa and Dire Dawa.] In 1998, an epidemic of multidrug-resistant V. cholerae in Ethiopia affected thousands of people throughout the country.' - cholera confirmed present; no case count available.",AI,
AFR::ETH,1993-10-01,1995-12-31,presence_confirmed_count_unknown,29,"Scrascia et al., Cholera in Ethiopia in the 1990s: epidemiologic patterns, clonal analysis and antimicrobial resistance, Int J Med Microbiol 2009;299:367-372 (PMID 19121605)",0.9,"Source states: 'In 1993, after 6 years of absence, cholera re-emerged in the Horn of Africa. Following its introduction to Djibouti, the disease spread to the central and southern areas of Ethiopia reaching Somalia in 1994. Cholera outbreaks persisted in Ethiopia with a recrudescence of cases in 1998. [National Cholera Elimination Plan: 'cholera emerged in 1993. This outbreak started in Dire Dawa city and in subsequent months, cases were also reported from Oromia and Somali regions, and in the city of Addis Ababa. Overall, studies suggest the attack rate for this outbreak was around 2-15 per 1000 with an average case-fatality rate of 2.5%.']' - cholera confirmed present; no case count available.",AI,
AFR::ETH::SNNPR::Gedeo::Chelelektu,2021-03-01,2021-03-31,presence_confirmed_count_unknown,70,"EDRMC Early Warning and Response English Monthly Bulletin, March 2021 - REGISTERED BUT NOT EXTRACTED (internally inconsistent cholera figures)",0.8,"Source states: 'SNNPR:- As an outbreak Cholera cases have been reported from Chelalktu town of Gedio Zone. So, concerned body should have to work on WASH practices in the area.' - cholera confirmed present; no case count available.",AI,
AFR::ETH::SNNPR::Sidama::Hawassa,2019-09-01,2019-09-30,presence_confirmed_count_unknown,77,"EDRMC Early Warning and Response English Monthly Bulletin, September 2019",0.85,Source states: 'SNNPR: Similar to last month report Cholera cases have been reported from Hawasa city and to control it treatment had been given. Strong surveillance system is also on going to control outspread of this disease to other areas.' - cholera confirmed present; no case count available.,AI,
AFR::ETH::Oromia::West_Arsi::Shashamene,2019-09-01,2019-09-30,presence_confirmed_count_unknown,77,"EDRMC Early Warning and Response English Monthly Bulletin, September 2019",0.85,"Source states: 'Oromia: During the month, cases of AWD/Cholera have been reported from Shashamene and Shalla woredas of W/Arsi Zone where controlling and prevention activities are underway.' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Amhara::Oromo::Jile_Tumuga,2019-09-01,2019-09-30,presence_confirmed_count_unknown,77,"EDRMC Early Warning and Response English Monthly Bulletin, September 2019",0.85,Source states: 'Amhara: During the reporting period Cholera cases have been reported from Jile Tumuga Woredas of Oromo Zone and it needs an attention from concerned bodies.' - cholera confirmed present; no case count available.,AI,
AFR::ETH::Afar::Zone_1::Dubti,2019-12-01,2019-12-31,presence_confirmed_count_unknown,79,"EDRMC Early Warning and Response English Monthly Bulletin, December 2019",0.85,Source states: 'Afar: - Cholera cases have been reported from Dubti and Asayita Woredas of Zone 1.' - cholera confirmed present; no case count available.,AI,
AFR::ETH::Afar,2011-07-01,2011-07-15,presence_confirmed_count_unknown,90,"WHO, Public health risk assessment and interventions - The Horn of Africa: drought and famine crisis, July 2011 (WHO/HSE/GAR/DCE/2011.3)",0.8,"Source states: 'Table 3. Current outbreak reported in situation updates from affected countries as of 15 July 2011 - Country: Ethiopia; Disease: Measles; meningitis; acute watery diarrhoea in parts of Afar, Somali and Oromia regions. [Same table, Somalia: Cholera in Mogadishu & Lower Shebele.] Ethiopia used the term AWD in place of cholera before 2019 (EPHI/IVI, Clin Infect Dis 2024;79(Suppl 1):S8). No case count given. Recorded by Agent 3 as the evidence that retracted a 2011 national zero row.' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Somali,2011-07-01,2011-07-15,presence_confirmed_count_unknown,90,"WHO, Public health risk assessment and interventions - The Horn of Africa: drought and famine crisis, July 2011 (WHO/HSE/GAR/DCE/2011.3)",0.8,"Source states: 'Table 3. Current outbreak reported in situation updates from affected countries as of 15 July 2011 - Country: Ethiopia; Disease: Measles; meningitis; acute watery diarrhoea in parts of Afar, Somali and Oromia regions. [Same table, Somalia: Cholera in Mogadishu & Lower Shebele.] Ethiopia used the term AWD in place of cholera before 2019 (EPHI/IVI, Clin Infect Dis 2024;79(Suppl 1):S8). No case count given. Recorded by Agent 3 as the evidence that retracted a 2011 national zero row.' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Oromia,2011-07-01,2011-07-15,presence_confirmed_count_unknown,90,"WHO, Public health risk assessment and interventions - The Horn of Africa: drought and famine crisis, July 2011 (WHO/HSE/GAR/DCE/2011.3)",0.8,"Source states: 'Table 3. Current outbreak reported in situation updates from affected countries as of 15 July 2011 - Country: Ethiopia; Disease: Measles; meningitis; acute watery diarrhoea in parts of Afar, Somali and Oromia regions. [Same table, Somalia: Cholera in Mogadishu & Lower Shebele.] Ethiopia used the term AWD in place of cholera before 2019 (EPHI/IVI, Clin Infect Dis 2024;79(Suppl 1):S8). No case count given. Recorded by Agent 3 as the evidence that retracted a 2011 national zero row.' - cholera confirmed present; no case count available.",AI,
