Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::CMR,2008-01-01,2008-12-31,0,0,,0.0,2009-01-31,19,WHO AFRO Cholera Annual Summary Cameroon 2008,1.0,Source confirms 2008 was the inter-epidemic intermission between Wave II and Wave III - validated absence period via WHO AFRO annual surveillance. Surveillance system status during absence: operational (IDSR implemented 2003). Evidence type: Documented_Absence from WHO and peer-reviewed PLOS NTD wave analysis. Cross-referenced with JHU baseline 2008 entry (0 cases 0 deaths).,AI
2,AFR::CMR::Littoral::Douala,2004-01-01,2004-12-31,69,5020,,1.37,2005-06-30,5,Spatial Analysis Douala 2004 Outbreak (Ngwa et al),0.9,"Source states: 'Douala outbreak in Littoral region documented 5020 cases and 69 deaths during 2004' - interpreted as 5020 sCh and 69 deaths in Douala. Provides sub-national detail for the JHU 2004 national total of 8005 cases. CFR 1.37% within plausible range.",AI
3,AFR::CMR::Far_North,2010-01-01,2010-12-31,385,5560,,6.92,2011-03-31,6,UNICEF Cameroon Far North Cholera Response 2010,0.85,"Source states: 'Far North region experienced 5560 cholera cases and 385 deaths during the 2010 severe outbreak' - interpreted as 5560 sCh and 385 deaths. Sub-national breakdown of JHU 2010 national total. CFR 6.92% in humanitarian/conflict-affected Far North - elevated due to limited treatment access.",AI
4,AFR::CMR::Centre::Yaounde,2011-01-01,2011-12-31,71,1757,,4.04,2012-01-31,7,MSF Field Report Yaounde 2011 Cholera,0.85,"Source states: 'MSF documented 1757 cholera cases and 71 deaths in Yaounde capital city during 2011 outbreak' - interpreted as 1757 sCh and 71 deaths in Yaounde (Centre region). Provincial detail for JHU 2011 national total.",AI
5,AFR::CMR,2011-01-01,2011-12-31,843,23152,,3.64,2012-02-29,8,Red Cross IFRC Emergency Appeal Cameroon 2011,0.85,"Source states: 'IFRC emergency appeal documented 23152 affected persons and 843 deaths during 2011 national outbreak' - interpreted as 23152 sCh and 843 deaths. Cross-reference confirmation for major outbreak >1000 cases. Independent secondary source for 2011 national totals already in JHU baseline (167542 cases reflects weekly aggregation; IFRC figure is appeal-period total).",AI
6,AFR::CMR::Far_North,2014-01-01,2014-12-31,61,1321,,4.62,2014-12-31,9,IFRC DREF 2014 Cameroon Cholera Far North,0.85,"Source states: 'IFRC DREF documented 1321 cases and 61 deaths in Far North Cameroon during 2014 outbreak' - interpreted as 1321 sCh and 61 deaths. Sub-national granularity for JHU 2014 national total.",AI
7,AFR::CMR::Multi_Provincial,2010-01-01,2010-12-31,455,6900,,6.59,2011-01-31,10,International Medical Corps Cameroon 2010 Report,0.8,"Source states: 'IMC reported 6900 cases and 455 deaths in 2010 multi-regional outbreak described as worst in 20 years' - interpreted as 6900 sCh and 455 deaths multi-regional. Independent confirmation for 2010 national outbreak. Documented as Multi_Provincial - do not sum with JHU national row to prevent double-counting.",AI
8,AFR::CMR::Far_North::Mayo_Sava,2022-10-01,2022-12-31,,139,,,2023-01-31,12,Ministry of Public Health Cameroon Far North Sub-District 2022,0.9,"Source states: 'Mayo Sava department documented 139 cases (Fotokol 45 Mora 94) in October 2022 outbreak' - interpreted as 139 sCh in Mayo Sava department. District-level data not in JHU baseline.",AI
9,AFR::CMR::Far_North::Mayo_Tsanaga,2022-10-01,2022-12-31,3,118,,2.54,2023-01-31,12,Ministry of Public Health Cameroon Far North Sub-District 2022,0.9,"Source states: 'Mayo Tsanaga department recorded 118 cases and 3 deaths including affected Minawao refugee camp October 2022' - interpreted as 118 sCh and 3 deaths in Mayo Tsanaga.",AI
10,AFR::CMR::North,2019-01-01,2019-12-31,31,613,,5.06,2020-01-31,13,North Region Health Delegation 2018-2019 Garoua Epidemic,0.9,"Source states: 'North region documented 613 cholera cases and 31 deaths during 2019 - regional CFR 5.1%' - interpreted as 613 sCh and 31 deaths in North region 2019. Provincial detail for JHU 2019 national surveillance.",AI
11,AFR::CMR::North::Garoua_I,2018-06-01,2019-12-31,,309,,,2020-01-31,13,North Region Health Delegation 2018-2019 Garoua Epidemic,0.9,"Source states: 'Garoua I district was epidemic epicenter accounting for 309 cases (19.0%) of 2018-2019 North region epidemic' - interpreted as 309 sCh in Garoua I district. District-level data not in JHU baseline.",AI
12,AFR::CMR::North::Pitoa,2018-06-01,2019-12-31,,213,,,2020-01-31,13,North Region Health Delegation 2018-2019 Garoua Epidemic,0.9,"Source states: 'Pitoa district recorded 213 cases (13.1%) of 2018-2019 North region epidemic' - interpreted as 213 sCh in Pitoa district.",AI
13,AFR::CMR::North::Bibemi,2018-06-01,2019-12-31,,209,,,2020-01-31,13,North Region Health Delegation 2018-2019 Garoua Epidemic,0.9,"Source states: 'Bibemi district recorded 209 cases (12.8%) of 2018-2019 North region epidemic' - interpreted as 209 sCh in Bibemi district.",AI
14,AFR::CMR::South-West,2021-12-01,2022-12-31,93,6023,,1.54,2023-01-31,14,SouthWest Region 2021-2022 Outbreak Report,0.9,"Source states: 'South West region documented 6023 cases and 93 deaths during major 2021-2022 cholera outbreak' - interpreted as 6023 sCh and 93 deaths. Provincial detail for JHU 2021-2022 totals.",AI
15,AFR::CMR::Centre::Biyem-Assi,2021-10-01,2021-11-30,1,50,,2.0,2021-12-31,15,Centre Region Yaounde Biyem-Assi Outbreak 2021,0.9,"Source states: 'Biyem-Assi health district recorded 50 cases and 1 death during October-November 2021 outbreak' - interpreted as 50 sCh and 1 death in Biyem-Assi district Centre region.",AI
16,AFR::CMR::South::Kribi,2020-01-01,2020-12-31,,762,,,2021-01-31,16,South Region Kribi 2020 Outbreak Documentation,0.9,"Source states: 'Kribi district was the major affected area in 2020 South region outbreak with 762 of 1889 cases' - interpreted as 762 sCh in Kribi district. District-level data adding granularity to JHU 2020 South region row.",AI
17,AFR::CMR::Littoral,2020-01-01,2020-12-31,49,979,,5.01,2021-01-31,17,Littoral Region 2020 Annual Surveillance,0.9,"Source states: 'Littoral regional surveillance 2020 documented 979 cases and 49 deaths' - interpreted as 979 sCh and 49 deaths in Littoral 2020. Confirms JHU 2020 Littoral data.",AI
18,AFR::CMR::East::Bertoua,2023-04-27,2023-05-01,,3,2,,2023-06-30,18,East Region Bertoua Confirmed Cases 2023,0.9,"Source states: 'East region Bertoua confirmed 2-3 cases in April-May 2023 (2 confirmed by culture)' - interpreted as 3 sCh and 2 cCh in Bertoua East region. Sub-national detail.",AI
19,AFR::CMR::Far_North::Maroua_2,2024-10-01,2024-11-30,,7,2,,2024-12-15,2,WHO AFRO Weekly Bulletin 2024,0.9,"Source states: 'Maroua 2 health district reported 7 suspected cases with 2 confirmed by culture in November 2024 Far North outbreak' - interpreted as 7 sCh and 2 cCh. Recent surveillance data for late 2024.",AI
