Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 211),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection211.csv,JHU cholera database entry with 16 observations. Frequency: Weekly. Updated: 2024-02-09,2011-10-03 to 2012-01-22,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,JHU Cholera Database (UID: 5103),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection5103.csv,JHU cholera database entry with 10761 observations. Frequency: Weekly. Updated: 2024-02-09,2015-01-01 to 2023-01-01,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,WHO AFRO Surveillance Report (UID: 20891),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection20891.csv,JHU cholera database entry with 4 observations. Frequency: Weekly. Updated: 2024-02-09 Source tags: WHOafro,2018-05-14 to 2018-05-24,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,JHU Cholera Database (UID: 21200),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection21200.csv,JHU cholera database entry with 48315 observations. Frequency: Weekly. Updated: 2024-02-09 Source tags: Unified,2018-01-01 to 2019-12-29,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,UNICEF Country Programme Report (UID: 21434),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection21434.csv,"JHU cholera database entry with 85718 observations. Frequency: Weekly. Updated: 2024-05-15 Source tags: Unified
UNICEFcp",2010-01-04 to 2019-11-03,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,WHO AFRO Surveillance Report (UID: 20967),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection20967.csv,JHU cholera database entry with 6 observations. Frequency: Other (97). Updated: 2024-02-09 Source tags: WHOafro,2018-05-18 to 2018-08-29,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,WHO AFRO Surveillance Report (UID: 20955),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection20955.csv,JHU cholera database entry with 5 observations. Frequency: Other (87). Updated: 2024-02-09 Source tags: WHOafro,2018-05-18 to 2018-08-13,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,WHO AFRO Surveillance Report (UID: 21029),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection21029.csv,JHU cholera database entry with 12 observations. Frequency: Other (86). Updated: 2024-02-09 Source tags: WHOafro,2018-05-18 to 2018-11-09,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,JHU Cholera Database (UID: 21396),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection21396.csv,JHU cholera database entry with 54 observations. Frequency: Other (83). Updated: 2024-02-09,2021-01-01 to 2023-01-05,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,WHO AFRO Surveillance Report (UID: 20947),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection20947.csv,JHU cholera database entry with 3 observations. Frequency: Other (74). Updated: 2024-02-09 Source tags: WHOafro,2018-05-18 to 2018-07-31,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
11,WHO AFRO Surveillance Report (UID: 20974),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Cameroon/ObservationCollection20974.csv,JHU cholera database entry with 10 observations. Frequency: Other (73). Updated: 2024-02-09 Source tags: WHOafro,2018-05-18 to 2018-09-03,Surveillance,Validated,Level 1,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
