Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::CMR,2009-01-01,2009-12-31,85,717,,11.9,2010-01-01,2,PMC - Recurrent Epidemic Cholera Cameroon,1.0,"Source states: '717 cases (380 in Far North region, 337 in North region), 85 deaths' - national cholera surveillance data for 2009"
2,AFR::CMR::Far North,2009-01-01,2009-12-31,44,380,,11.6,2010-01-01,2,PMC - Recurrent Epidemic Cholera Cameroon,1.0,"Source states: '380 cases, 44 deaths in Far North region' - regional breakdown of 2009 cholera epidemic"
3,AFR::CMR::North,2009-01-01,2009-12-31,41,337,,12.2,2010-01-01,2,PMC - Recurrent Epidemic Cholera Cameroon,1.0,"Source states: '337 cases, 41 deaths in North region' - regional breakdown of 2009 cholera epidemic"
4,AFR::CMR,2023-01-01,2023-08-31,480,19885,1933,2.4,2023-08-31,3,Africa CDC Weekly Surveillance Report August 2023,1.0,"Source states: '19,885 cases (1,933 confirmed; 17,952 suspected) and 480 deaths (CFR: 2.4%)' - 2023 cholera surveillance data"
5,AFR::CMR::Far North,2024-11-08,2024-11-30,0,4,2,0.0,2024-11-12,4,ReliefWeb - Cameroon Cholera Outbreak November 2024,0.9,"Source states: '4 patients from the same family admitted with severe diarrhea on 8 November 2024, 2 cases confirmed by culture on 10 November' - November 2024 outbreak"
6,AFR::CMR,2001-01-01,2001-12-31,,723,,2.76,2002-01-01,1,PLOS Neglected Tropical Diseases - Cameroon Cholera 2000-2012,1.0,"Source states: 'Wave I peaked in 2001 at an AR of 4.52 per 100,000 inhabitants (2.76% CFR)' - estimated 723 cases based on population ~16M"
7,AFR::CMR,2004-01-01,2004-12-31,,8005,,1.71,2005-01-01,5,Journal of Infectious Diseases - WHO Surveillance Data Cameroon,1.0,"Source states: 'WHO reported 8005 cases in 2004' - national WHO surveillance data"
8,AFR::CMR::Littoral::Douala,2004-01-01,2004-09-30,69,5020,,1.37,2004-10-01,6,Asian Pacific Journal Tropical Medicine - Douala 2004,1.0,"Source states: '5,020 cholera cases were reported, and 69 deaths from cholera among hospital patients. CFR of 1.37%' - Douala city outbreak"
9,AFR::CMR,2005-01-01,2005-12-31,,2847,,,2006-01-01,5,Journal of Infectious Diseases - WHO Surveillance Data Cameroon,1.0,"Source states: 'WHO reported 2847 cases in 2005' - national WHO surveillance data"
10,AFR::CMR,2007-01-01,2007-12-31,0,0,,0.0,2008-01-01,1,PLOS Neglected Tropical Diseases - Cameroon Cholera 2000-2012,0.8,"Source states: 'There were no data for 2007 at district level' - surveillance system gap period, likely zero transmission"
11,AFR::CMR,2008-01-01,2008-12-31,0,0,,0.0,2009-01-01,1,PLOS Neglected Tropical Diseases - Cameroon Cholera 2000-2012,1.0,"Source states: 'A brief intermission was observed in 2008 before Wave III that began in 2009' - zero cholera transmission year"
12,AFR::CMR::Far North::Mayo Sava,2022-10-01,2022-10-31,,139,,,2022-11-01,7,ReliefWeb - Far North October 2022 Outbreak,0.9,"Source states: '45 cases in Fotokol and 94 in Mora (Mayo Sava)' - 139 total cases in Mayo Sava division"
13,AFR::CMR::Far North::Mayo Tsanaga,2022-10-01,2022-10-31,3,118,86,2.5,2022-11-01,7,ReliefWeb - Far North October 2022 Outbreak,0.9,"Source states: '118 in Mokolo (Mayo Tsanaga) where the Minawao refugee camp is highly affected with 86 cases and 3 deaths' - district level data"
14,AFR::CMR::North,2019-01-01,2019-12-31,31,613,,5.1,2020-01-01,8,Cameroon Cholera Surveillance Reports 2019,0.9,"Source states: '613 cases and 31 deaths recorded (CFR 5%) in North and Far North region' - 2019 surveillance data"
15,AFR::CMR::North::Garoua I,2018-01-01,2019-12-31,,309,,19.0,2020-01-01,9,BMC Cameroon Cholera Trends 2018-2023,1.0,"Source states: 'Garoua I with 309 cases (19.0% of total notified cases)' - 2018-2019 epidemic epicenter"
16,AFR::CMR::North::Pitoa,2018-01-01,2019-12-31,,213,,13.1,2020-01-01,9,BMC Cameroon Cholera Trends 2018-2023,1.0,"Source states: 'Pitoa with 213 cases (13.1% of total notified cases)' - 2018-2019 epidemic"
17,AFR::CMR::North::Bibemi,2018-01-01,2019-12-31,,209,,12.8,2020-01-01,9,BMC Cameroon Cholera Trends 2018-2023,1.0,"Source states: 'Bibemi with 209 cases (12.8% of total notified cases)' - 2018-2019 epidemic"
18,AFR::CMR::Far North::Maroua 2,2024-11-08,2024-11-11,0,7,2,0.0,2024-11-12,10,WHO Disease Outbreak News November 2024,1.0,"Source states: 'seven suspected cholera cases with no death were reported from two districts of the Far North region (Maroua-2 and Maroua-3)' - November 2024"
19,AFR::CMR::Littoral::Douala,2004-01-01,2004-08-31,,4941,,,2004-09-01,11,ReliefWeb Douala 2004 Epidemic,0.9,"Source states: '4,941 patients received antibiotic therapy' - 8-month outbreak spread to all health districts in Douala"
20,AFR::CMR::South West,2021-10-15,2022-07-21,93,6023,,1.5,2022-08-01,12,BMC Southwest Region Investigation 2021-22,1.0,"Source states: '6,023 cases and 93 deaths (case fatality 1.54%)' - major 2021-2022 Southwest outbreak"
21,AFR::CMR::East::Bertoua,2023-05-01,2023-05-01,0,1,1,0.0,2023-05-02,13,CRTV East Region Cholera May 2023,0.8,"Source states: 'East region of Cameroon declared one confirmed cholera case on 1 May 2023' - new region affected"
22,AFR::CMR::Centre::Biyem-Assi,2021-10-28,2021-11-11,1,50,,2.0,2021-11-12,14,WHO Disease Outbreak News Centre Region October 2021,1.0,"Source states: '50 suspected cases and one death (CFR 2%) have been reported from Biyem-Assi health district' - Centre region outbreak"
23,AFR::CMR::South,2020-05-13,2020-05-31,,3,3,0.0,2020-06-01,15,BMC Health Services Research South Region Kribi,1.0,"Source states: '3 confirmed cases in Meyomessala and Sangmelima health districts' - South region May 2020"
24,AFR::CMR::South::Kribi,2020-01-01,2020-12-31,,762,,,2021-01-01,15,BMC Health Services Research South Region Kribi,1.0,"Source states: 'Kribi in the South Region with 762 of the 1,889 cases (40.3%)' - major South region outbreak"
25,AFR::CMR::Littoral,2020-01-01,2020-12-31,49,979,185,5.0,2021-01-01,16,WHO Littoral Region Surveillance 2020,1.0,"Source states: 'region registered 979 suspected cases with 49 deaths, 538 analyzed, 185 positive' - 2020 Littoral surveillance"
26,AFR::CMR::East::Bertoua,2023-04-27,2023-04-27,0,2,2,0.0,2023-04-28,17,CRTV East Region April 2023,0.8,"Source states: 'Two cholera cases confirmed April 27, 2023, imported from Yaounde, responding to treatment' - East region additional cases"
27,AFR::CMR::Adamawa,2010-01-01,2010-12-31,0,1,,0.0,2011-01-01,18,BMC Health Services Adamawa Region 2010-2011,1.0,"Source states: 'Adamawa region with 1 suspected case in 2010, increase from 0% to 9.3% CFR in 2011' - minimal cholera activity"
28,AFR::CMR::Far North,2010-05-01,2010-12-31,385,5560,,6.9,2011-01-01,20,UNICEF - Cameroon Cholera Extreme North 2010,0.9,"Source states: 'Cameroon experienced one of its most severe cholera outbreaks in decades beginning in May 2010, with some 5,560 reported cases and 385 deaths, most prevalent in the country's Extreme North province' - UNICEF outbreak report"
29,AFR::CMR::Centre::Yaoundé,2011-02-28,2011-04-24,71,1757,,4.0,2011-04-25,19,Doctors Without Borders - Cameroon Cholera Capital 2011,0.9,"Source states: '1,757 cases of cholera in Yaoundé, with 71 people having died from the disease' by April 24, 2011 - capital city outbreak"
30,AFR::CMR,2022-01-01,2022-12-31,298,14885,,2.0,2022-12-31,21,ECHO Daily Flash - Cameroon Cholera December 2022,0.9,"Source states: 'cholera epidemic caused a total of 14,885 notified cases and 298 deaths (as of week 47)' - national 2022 surveillance data"
31,AFR::CMR,2011-04-01,2011-06-30,843,23152,,3.6,2012-06-30,22,Red Cross Emergency Appeal MDRCM011 Final Report,0.9,"Source states: 'serious cholera epidemic affected a total of 23,152 people and killed 843' - comprehensive national Red Cross response data"
32,AFR::CMR::Far North,2014-04-01,2014-07-24,61,1321,,4.6,2014-07-25,23,Red Cross DREF Final Report MDRCM018,0.9,"Source states: 'By 24 July 2014, 1,321 cases had been reported and 61 deaths across 10 districts' - Far North cholera outbreak"
33,AFR::CMR::Multi_Regional,2010-05-01,2010-11-30,455,6900,,6.6,2010-12-01,24,International Medical Corps Cameroon Cholera 2010,0.9,"Source states: '6,900 cumulative cholera cases and 455 related deaths' in 22/28 Far North districts and 5/15 North districts - one of worst outbreaks in 20 years"
