Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status
1,WHO Disease Outbreak News Angola 2006 Update 3,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_06a-en,WHO situation report on 2006 cholera outbreak with provincial breakdown,2006,Official Surveillance,Active,Level 1,Validated
2,WHO Disease Outbreak News Angola 2006 Initial,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_10-en,Initial WHO situation report on 2006 cholera outbreak,2006,Official Surveillance,Active,Level 1,Validated
3,UNICEF Angola Cholera Situation Report April 2006,https://reliefweb.int/report/angola/unicef-angola-cholera-outbreak-situation-report-21-apr-2006,UNICEF detailed response and surveillance data for 2006 outbreak,2006,Humanitarian Response,Active,Level 2,Validated
4,UNICEF Angola Cholera Situation Report May 2006,https://reliefweb.int/report/angola/cholera-outbreak-unicef-angola-situation-report-26-may-2006,UNICEF comprehensive outbreak response report with quantitative data,2006,Humanitarian Response,Active,Level 2,Validated
5,WHO Disease Outbreak News Angola 2025,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,Current 2025 cholera outbreak official WHO surveillance report,2025,Official Surveillance,Active,Level 1,Validated
6,MSF Angola Cholera Outbreak April 2006,https://reliefweb.int/report/angola/growing-cholera-outbreak-angola-msf-urges-government-take-stronger-action,MSF operational response and provincial surveillance data,2006,Humanitarian Response,Active,Level 2,Validated
7,ReliefWeb Angola Cholera Update May 2006,https://reliefweb.int/report/angola/cholera-angola-update-18-may-2006,Multi-agency coordination and case reporting,2006,Humanitarian Response,Active,Level 2,Validated
8,Frontiers Molecular Epidemiology Angola 1992-2006,https://pmc.ncbi.nlm.nih.gov/articles/PMC3842873/,Academic study with historical outbreak data and molecular analysis,1992-2006,Academic Research,Active,Level 2,Validated
9,MSF Brazil Angola Cholera 2007 Follow-up,https://www.msf.org.br/noticias/surto-de-colera-em-luanda-completa-um-ano/,Portuguese-language MSF report on 2006-2007 outbreak continuation,2006-2007,Humanitarian Response,Active,Level 2,Validated
10,WHO AFRO Angola Cross-Border Surveillance,https://www.afro.who.int/countries/angola/news/improving-cholera-outbreak-response-angolas-hardest-hit-regions,Regional WHO office surveillance and response coordination,2025,Official Surveillance,Active,Level 1,Validated
11,BMC Cross-Border DRC Angola Transmission,https://pmc.ncbi.nlm.nih.gov/articles/PMC8684622/,Academic study documenting cross-border cholera transmission patterns,1973-2018,Academic Research,Active,Level 2,Validated
12,ReliefWeb Angola Border Surveillance DRC,https://reliefweb.int/report/angola/angola-bolsters-epidemiological-surveillance-border-drc,Cross-border surveillance coordination documentation,2018,Official Coordination,Active,Level 2,Validated
13,WHO Multi-Country Cholera Situation Report,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250210_multi-country_outbreak-of-cholera_sitrep--23.pdf,Regional cholera surveillance including Angola data,2025,Official Surveillance,Active,Level 1,Validated
14,Global Cholera Alliance Angola Report,https://www.choleraalliance.org/en/news/angola-faces-its-most-severe-cholera-outbreak-2006,International coordination and outbreak severity assessment,2025,International Coordination,Active,Level 3,Validated
15,ReliefWeb Southern Africa Cholera Bulletin,https://reliefweb.int/report/angola/southern-africa-cholera-information-bulletin-n-1,Regional surveillance coordination for Southern Africa,2016-2018,Regional Surveillance,Active,Level 2,Validated
16,CIDRAP Angola Cholera Tracking 2006,https://www.cidrap.umn.edu/cholera/cholera-spreading-across-angola-more-8500-cases,Epidemic intelligence and outbreak tracking,2006,Epidemic Intelligence,Active,Level 3,Validated
17,WHO AFRO Angola Cholera Flash Update,https://www.afro.who.int/countries/angola/publication/who-angola-cholera-flash-update-2,Current outbreak operational updates and response coordination,2025,Official Surveillance,Active,Level 1,Validated
18,UNICEF Angola WASH Cholera Response 2025,https://www.unicef.org/angola/en/stories/unicef-wash-challenges-and-responses-combating-cholera-outbreak-angola,Current outbreak WASH intervention and case data,2025,Humanitarian Response,Active,Level 2,Validated
19,Angola UN News Cholera Community Response,https://news.un.org/pt/story/2025/02/1845326,Portuguese-language UN coordination and community response data,2025,Official Coordination,Active,Level 2,Validated
20,Angola Red Cross Cholera Response DREF,https://reliefweb.int/report/angola/angola-cholera-response-dref-operational-update-mdrao011,International Red Cross response operations and surveillance,2025,Humanitarian Response,Active,Level 2,Validated
