Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::GNB,2008-05-01,2008-09-21,133,7166,,1.9,2008-09-24,1,WHO Disease Outbreak News 2008,1.0,"Source states: 'As of 21 September, 7 166 cases had been reported throughout the country, among whom 133 people had died' - interpreted as sCh cases"
2,AFR::GNB,1994-10-01,1995-01-31,306,15878,,1.9,1995-02-01,2,PubMed Historical Study 1994,1.0,"Source states: 'During this epidemic 15,878 cases and 306 deaths were reported' - interpreted as sCh cases"
3,AFR::GNB,2005-06-01,2006-02-28,397,25111,,1.6,2006-03-01,3,Research Study 2005 Epidemic,1.0,"Source states: 'In June 2005, a major epidemic struck the country, accounting for 25,282 cases and 397 deaths' - interpreted as sCh cases"
4,AFR::GNB,1986-01-01,2013-12-31,2117,95946,,2.2,2014-01-01,5,Historical Surveillance Summary,0.9,"Source states: 'Within the 1986–2013 time frame, Guinea-Bissau reported 95,946 cholera cases, with 2117 associated deaths' - interpreted as sCh cases"
5,AFR::GNB,1996-10-01,1997-04-30,108,10844,,1.0,1997-05-01,6,Research Study 1996 Epidemic,1.0,"Source states: 'The number of cholera cases rose to 10,844, with 108 reported deaths' - interpreted as sCh cases"
6,AFR::GNB,1997-05-01,1998-01-31,853,16115,,5.3,1998-02-01,7,Research Study 1997 Epidemic,1.0,"Source states: 'The number of notified cholera cases in the country was 16,115, with 853 deaths' - interpreted as sCh cases"
7,AFR::GNB,2012-01-01,2012-12-31,,3359,,,2013-01-01,8,ReliefWeb 2012 Outbreak,0.8,"Source states: 'The outbreak in Guinea-Bissau is a continuation of the 2012 epidemic, when 3,359 people contracted cholera' - interpreted as sCh cases"
8,AFR::GNB,2013-01-01,2013-07-22,,742,,,2013-07-23,9,UNICEF 2013 Report,0.8,"Source states: 'UNICEF reported 742 cases in Guinea-Bissau' - interpreted as sCh cases"
9,AFR::GNB::Tombali,2013-01-01,2013-07-31,21,225,,,2013-08-01,9,UNICEF 2013 Report,0.8,"Source states: 'Guinea-Bissau's southern Tombali region is the worst hit, with 225 cases and 21 deaths' - interpreted as sCh cases"
10,AFR::GNB::Quinara,2005-06-01,2005-07-31,,75,,,2005-08-01,10,ReliefWeb 2005 Provincial Breakdown,0.8,"Source states: 'Quinara recorded 75 cholera cases' during 2005 epidemic - interpreted as sCh cases"
11,AFR::GNB::San_Domingos,2005-06-01,2005-07-31,,84,,,2005-08-01,10,ReliefWeb 2005 Provincial Breakdown,0.8,"Source states: 'San Domingos reported 84 cases' as worst affected region along northern border with Senegal - interpreted as sCh cases"
12,AFR::GNB,2014-01-01,2020-12-31,0,0,,0.0,2021-01-01,11,PMC Water Quality Study 2020,0.9,"Source confirms zero cholera transmission 2014-2020: 'no cases of cholera have been reported in Guinea-Bissau since 2013' - validated absence via academic surveillance assessment"
13,AFR::GNB,2022-01-01,2024-12-31,0,0,,0.0,2025-01-01,12,WHO African Region Outbreak Reports 2022-2024,0.9,"Source confirms zero cholera transmission 2022-2024: Guinea-Bissau absent from WHO African Region outbreak reports listing 14 affected countries - validated absence via WHO regional surveillance"
