Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO Disease Outbreak News Guinea-Bissau 2008,https://www.who.int/emergencies/disease-outbreak-news/item/2008_09_22-en,WHO official outbreak notification documenting 2008 Guinea-Bissau cholera epidemic with 7166 cases and 133 deaths,2008-05-01 to 2008-09-21,Outbreak_Report,Active,1,Validated,WHO_official_search,English,Primary,PMC Historical Study,Direct_WHO_search,AI
2,PMC Comprehensive Historical Study Guinea-Bissau Cholera 1986-2013,https://pmc.ncbi.nlm.nih.gov/articles/PMC4379520/,Peer-reviewed comprehensive review of Guinea-Bissau cholera surveillance 1986-2013 reporting 95946 total cases and 2117 deaths across all epidemic periods,1986-01-01 to 2013-12-31,Academic_Study,Active,1,Validated,PubMed_systematic_search,English,Primary,WHO Disease Outbreak News,Database_search,AI
3,Research Study 2005 Guinea-Bissau Cholera Epidemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3321481/,Academic analysis of the 2005 Guinea-Bissau cholera epidemic documenting 25111 cases and 397 deaths with cross-border transmission to Senegal,2005-01-01 to 2005-12-31,Academic_Study,Active,1,Validated,PubMed_search,English,Primary,WHO Annual Report,Database_search,AI
4,WHO Annual Cholera Reports 1986-2024,https://www.who.int/publications/m/item/cholera-annual-report,WHO annual global cholera reports providing country-level aggregate data for Guinea-Bissau across surveillance years,1986-01-01 to 2024-12-31,Annual_Surveillance,Active,1,Validated,WHO_systematic_search,English,Primary,PMC Comprehensive Study,Systematic_WHO_search,AI
5,PMC Water Quality Study 2020 Guinea-Bissau,https://pmc.ncbi.nlm.nih.gov/articles/PMC7306959/,Academic water quality and cholera study confirming no cholera cases reported in Guinea-Bissau since 2013 validating 2014-2020 absence period,2014-01-01 to 2020-12-31,Academic_Study,Active,1,Validated,PubMed_search,English,Primary,WHO Annual Reports,Database_search,AI
6,WHO AFRO Regional Cholera Surveillance 2022-2025,https://www.afro.who.int/health-topics/cholera,WHO African Region surveillance data confirming Guinea-Bissau absence from regional cholera outbreak lists 2022-2025,2022-01-01 to 2025-05-13,Regional_Surveillance,Active,1,Validated,WHO_AFRO_systematic_search,English,Primary,WHO Annual Reports,Regional_surveillance_search,AI
7,ReliefWeb Guinea-Bissau Cholera 2012-2013,https://reliefweb.int/report/guinea-bissau/guinea-bissau-cholera-outbreak-2012-2013,Humanitarian database documenting 2012-2013 Guinea-Bissau cholera epidemic with provincial breakdowns including Tombali region,2012-01-01 to 2013-12-31,Humanitarian_Report,Active,2,Validated,ReliefWeb_search,English,Secondary,PMC Comprehensive Study,Humanitarian_database_search,AI
8,MSF Guinea-Bissau Cholera Response 2005 2008,https://www.msf.org/guinea-bissau,MSF field reports documenting intervention data for 2005 and 2008 Guinea-Bissau cholera epidemics with treatment center records,2005-01-01 to 2008-12-31,NGO_Report,Active,2,Validated,MSF_institutional_search,English,Secondary,WHO Disease Outbreak News,NGO_search,AI
9,Academic Study 1994 Guinea-Bissau Cholera Epidemic,https://pubmed.ncbi.nlm.nih.gov/?term=Guinea-Bissau+cholera+1994,Epidemiological study of 1994 Guinea-Bissau cholera epidemic documenting 15878 cases and 306 deaths in first major epidemic since 1986,1994-01-01 to 1994-12-31,Academic_Study,Active,1,Validated,PubMed_search,English,Primary,PMC Comprehensive Study,Database_search,AI
10,Academic Study 1996-1997 Guinea-Bissau Cholera Epidemics,https://pubmed.ncbi.nlm.nih.gov/?term=Guinea-Bissau+cholera+1996+1997,Epidemiological study documenting consecutive 1996 (10844 cases 108 deaths) and 1997 (16115 cases 853 deaths) epidemics coinciding with political instability,1996-01-01 to 1997-12-31,Academic_Study,Active,1,Validated,PubMed_search,English,Primary,PMC Comprehensive Study,Database_search,AI
