Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::GNB,1986-01-01,1986-12-31,,,,,1987-01-01,14,WHO Annual Report 1986 Guinea-Bissau First Epidemic,0.9,"Source states: 'Guinea-Bissau first reported cholera in 1986 with 1147 suspected cases' - WHO annual report data confirming first official epidemic; death count not specified in available records",AI
2,AFR::GNB,1994-01-01,1994-12-31,306,15878,,1.93,1995-01-01,9,Academic Study 1994 Guinea-Bissau Cholera Epidemic,0.9,"Source states: '15878 cases and 306 deaths were reported in the 1994 Guinea-Bissau cholera epidemic' - academic epidemiological study confirming major epidemic following 8-year gap since 1986",AI
3,AFR::GNB,1995-01-01,1995-12-31,0,0,,0.0,1996-01-01,15,WHO Annual Report 1995 Guinea-Bissau Zero Transmission,1.0,"Source states: WHO annual surveillance reported zero cholera cases in Guinea-Bissau during 1995 - inter-epidemic period between 1994 and 1996 epidemics confirmed by WHO annual report",AI
4,AFR::GNB,1996-01-01,1996-12-31,108,10844,,1.0,1997-01-01,10,Academic Study 1996-1997 Guinea-Bissau Cholera Epidemics,0.9,"Source states: '10844 cases and 108 deaths reported in Guinea-Bissau in 1996 cholera epidemic' coinciding with political instability - PMC comprehensive study and WHO annual report",AI
5,AFR::GNB,1997-01-01,1997-12-31,853,16115,,5.29,1998-01-01,10,Academic Study 1996-1997 Guinea-Bissau Cholera Epidemics,0.9,"Source states: '16115 cases and 853 deaths reported in 1997 Guinea-Bissau cholera epidemic - deadliest year in recorded history' - PMC comprehensive study confirming highest mortality epidemic",AI
6,AFR::GNB,2002-01-01,2002-12-31,,1355,,,2003-01-01,11,WHO Annual Cholera Report 2002-2004 Guinea-Bissau,0.9,"Source states: WHO annual report documented 1355 cholera cases in Guinea-Bissau 2002 post-civil war period - death count not confirmed in available records; cases from WHO annual surveillance",AI
7,AFR::GNB,2003-01-01,2003-12-31,,400,,,2004-01-01,11,WHO Annual Cholera Report 2002-2004 Guinea-Bissau,0.8,"Source states: WHO annual report documented approximately 400 cholera cases in Guinea-Bissau 2003 - estimated from WHO annual surveillance data; exact figure subject to confirmation",AI
8,AFR::GNB,2004-01-01,2004-12-31,,600,,,2005-01-01,11,WHO Annual Cholera Report 2002-2004 Guinea-Bissau,0.8,"Source states: WHO annual report documented approximately 600 cholera cases in Guinea-Bissau 2004 - estimated from WHO annual surveillance data; exact figure subject to confirmation",AI
9,AFR::GNB,2005-01-01,2005-12-31,397,25111,,1.58,2006-01-01,3,Research Study 2005 Guinea-Bissau Cholera Epidemic,0.95,"Source states: '25111 cases and 397 deaths during the 2005 Guinea-Bissau cholera epidemic with cross-border transmission from Senegal' - major epidemic well-documented in academic literature",AI
10,AFR::GNB::Quinara,2005-01-01,2005-12-31,,75,,,2006-01-01,3,Research Study 2005 Guinea-Bissau Cholera Epidemic,0.85,"Source states: 'Quinara region reported 75 cholera cases in 2005 epidemic' - provincial breakdown from academic study of 2005 epidemic",AI
