Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 10801),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection10801.csv,JHU cholera database entry with 35 observations. Frequency: Weekly. Updated: 2024-04-24,2008-05-05 to 2009-01-04,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,JHU Cholera Database (UID: 13919),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection13919.csv,JHU cholera database entry with 90 observations. Frequency: Weekly. Updated: 2024-04-24,1994-10-01 to 1995-03-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,UNICEF Country Programme Report (UID: 5111),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection5111.csv,JHU cholera database entry with 4178 observations. Frequency: Weekly. Updated: 2025-05-01 Source tags: UNICEFcp,2015-01-01 to 2024-09-29,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,UNICEF Country Programme Report (UID: 21441),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection21441.csv,"JHU cholera database entry with 3145 observations. Frequency: Weekly. Updated: 2025-05-01 Source tags: Unified
UNICEFcp",2018-01-01 to 2019-08-18,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,JHU Cholera Database (UID: 13583),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection13583.csv,JHU cholera database entry with 2 observations. Frequency: Other (405). Updated: 2024-02-09,1996-10-06 to 1997-11-15,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,JHU Cholera Database (UID: 10232),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection10232.csv,JHU cholera database entry with 60 observations. Frequency: Other (4). Updated: 2024-04-24,2008-06-06 to 2008-11-02,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,JHU Cholera Database (UID: 20433),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection20433.csv,JHU cholera database entry with 3 observations. Frequency: Other (338). Updated: 2024-02-09,2005-01-01 to 2008-09-21,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,JHU Cholera Database (UID: 21365),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection21365.csv,JHU cholera database entry with 4 observations. Frequency: Other (283). Updated: 2024-02-09,2008-01-01 to 2013-07-22,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,JHU Cholera Database (UID: 10332),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection10332.csv,JHU cholera database entry with 1 observations. Frequency: Other (220). Updated: 2024-02-09,2008-06-05 to 2009-01-11,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,JHU Cholera Database (UID: 10679),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Guinea-Bissau/ObservationCollection10679.csv,JHU cholera database entry with 1 observations. Frequency: Other (213). Updated: 2024-02-09,2008-05-01 to 2008-11-30,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
