Location,TL,TR,evidence,source_index,source,confidence_weight,processing_notes,source_database,moved_from_row
AFR::TGO,1973-01-01,1973-01-31,presence_confirmed_count_unknown,31,"Bockemuhl J, Schroter G. The El Tor cholera epidemic in Togo (West Africa) 1970-1972. Tropenmed Parasitol 1975;26(3):312-22",0.8,"Source states: 'The course of the El Tor cholera epidemic in Togo (November 1970 to January 1973) is reported. 561 cases were confirmed bacteriologically, but a total of about 1000 cases is estimated.' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Golfe,1991-06-01,1991-10-24,presence_confirmed_count_unknown,42,"WHO Weekly Epidemiological Record 1991;66(43):313-320 - Diseases subject to the Regulations, 25 October 1991 + infected areas as at 24 October 1991",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Kloto,1991-06-01,1991-10-24,presence_confirmed_count_unknown,42,"WHO Weekly Epidemiological Record 1991;66(43):313-320 - Diseases subject to the Regulations, 25 October 1991 + infected areas as at 24 October 1991",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Kara::Kozah,1991-06-01,1991-10-24,presence_confirmed_count_unknown,42,"WHO Weekly Epidemiological Record 1991;66(43):313-320 - Diseases subject to the Regulations, 25 October 1991 + infected areas as at 24 October 1991",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Lacs,1991-06-01,1991-10-24,presence_confirmed_count_unknown,42,"WHO Weekly Epidemiological Record 1991;66(43):313-320 - Diseases subject to the Regulations, 25 October 1991 + infected areas as at 24 October 1991",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Ogou,1991-06-01,1991-10-24,presence_confirmed_count_unknown,42,"WHO Weekly Epidemiological Record 1991;66(43):313-320 - Diseases subject to the Regulations, 25 October 1991 + infected areas as at 24 October 1991",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Centrale::Sotouboua,1991-06-01,1991-10-24,presence_confirmed_count_unknown,42,"WHO Weekly Epidemiological Record 1991;66(43):313-320 - Diseases subject to the Regulations, 25 October 1991 + infected areas as at 24 October 1991",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Vo,1991-06-01,1991-10-24,presence_confirmed_count_unknown,42,"WHO Weekly Epidemiological Record 1991;66(43):313-320 - Diseases subject to the Regulations, 25 October 1991 + infected areas as at 24 October 1991",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Yoto,1991-06-01,1991-10-24,presence_confirmed_count_unknown,42,"WHO Weekly Epidemiological Record 1991;66(43):313-320 - Diseases subject to the Regulations, 25 October 1991 + infected areas as at 24 October 1991",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Golfe,1998-01-01,1999-01-28,presence_confirmed_count_unknown,52,WHO Weekly Epidemiological Record 1999;74(4) - Infected areas as at 28 January 1999,0.9,"Source states: 'Infected areas as at 28 January 1999 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Kloto,1998-01-01,1999-01-28,presence_confirmed_count_unknown,52,WHO Weekly Epidemiological Record 1999;74(4) - Infected areas as at 28 January 1999,0.9,"Source states: 'Infected areas as at 28 January 1999 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Kara::Kozah,1998-01-01,1999-01-28,presence_confirmed_count_unknown,52,WHO Weekly Epidemiological Record 1999;74(4) - Infected areas as at 28 January 1999,0.9,"Source states: 'Infected areas as at 28 January 1999 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Lacs,1998-01-01,1999-01-28,presence_confirmed_count_unknown,52,WHO Weekly Epidemiological Record 1999;74(4) - Infected areas as at 28 January 1999,0.9,"Source states: 'Infected areas as at 28 January 1999 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Ogou,1998-01-01,1999-01-28,presence_confirmed_count_unknown,52,WHO Weekly Epidemiological Record 1999;74(4) - Infected areas as at 28 January 1999,0.9,"Source states: 'Infected areas as at 28 January 1999 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
