Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,UNICEF Country Programme Report (UID: 5119),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Togo/ObservationCollection5119.csv,JHU cholera database entry with 4402 observations. Frequency: Weekly. Updated: 2025-03-17 Source tags: UNICEFcp,2013-12-30,2019-12-29,2,JHU
2,JHU Cholera Database (UID: 808),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Togo/ObservationCollection808.csv,JHU cholera database entry with 15 observations. Frequency: Other (38). Updated: 2024-05-13,2013-08-30,2013-11-18,2,JHU
3,JHU Cholera Database (UID: 804),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Togo/ObservationCollection804.csv,JHU cholera database entry with 18 observations. Frequency: Other (12). Updated: 2024-05-13,2013-08-27,2013-12-23,2,JHU
4,JHU Cholera Database (UID: 78),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Togo/ObservationCollection78.csv,JHU cholera database entry with 116 observations. Frequency: Other (1). Updated: 2024-02-09,2013-08-29,2014-01-28,2,JHU
5,JHU Cholera Database (UID: 21271),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Togo/ObservationCollection21271.csv,JHU cholera database entry with 131 observations. Frequency: Daily. Updated: 2024-02-09,2013-08-27,2013-12-24,2,JHU
6,WHO Annual Cholera Report (UID: 340),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Togo/ObservationCollection340.csv,JHU cholera database entry with 42 observations. Frequency: Annual. Updated: 2024-09-30 Source tags: WHOannual,1970-01-01,2023-12-31,1,JHU
7,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for TOGO in 2023. Weekly reporting from WHO emergency surveillance dashboard. 3 weekly observations.,2023-12-11,2023-12-31,1,WHO
8,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for TOGO in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
9,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for TOGO in 2025. Weekly reporting from WHO emergency surveillance dashboard. 12 weekly observations.,2024-12-30,2025-03-23,1,WHO
10,WHO Cholera Surveillance Dashboard (2023),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for TOGO in 2023. Weekly reporting from WHO emergency surveillance dashboard. 3 weekly observations.,2023-12-11,2023-12-31,1,WHO
11,WHO Cholera Surveillance Dashboard (2024),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for TOGO in 2024. Weekly reporting from WHO emergency surveillance dashboard. 52 weekly observations.,2024-01-01,2024-12-29,1,WHO
12,WHO Cholera Surveillance Dashboard (2025),https://extranet.who.int/publicemergency/,WHO cholera surveillance data for TOGO in 2025. Weekly reporting from WHO emergency surveillance dashboard. 12 weekly observations.,2024-12-30,2025-03-23,1,WHO
